0,0,255 ,0 ,  175 ,  77
4,0,255 ,0 ,  175 ,  77
8,0,51 ,0 ,  175 ,  77
10,0,3 ,100 ,  103 ,  101
12,0,1 ,0 ,  175 ,  77
13,0,3 ,166 ,  83 ,  34
15,0,1 ,100 ,  103 ,  101
16,0,3 ,166 ,  83 ,  34
18,0,3 ,100 ,  103 ,  101
20,0,3 ,0 ,  74 ,  45
22,0,255 ,21 ,  21 ,  21
26,0,15 ,21 ,  21 ,  21
30,0,1 ,0 ,  74 ,  45
31,0,17 ,100 ,  103 ,  101
32,0,7 ,166 ,  83 ,  34
35,0,1 ,100 ,  103 ,  101
36,0,1 ,0 ,  175 ,  77
37,0,1 ,100 ,  103 ,  101
38,0,3 ,0 ,  175 ,  77
40,0,1 ,100 ,  103 ,  101
41,0,1 ,160 ,  161 ,  159
42,0,3 ,247 ,  209 ,  18
44,0,7 ,160 ,  161 ,  159
47,0,1 ,100 ,  103 ,  101
48,0,1 ,0 ,  175 ,  77
49,0,1 ,166 ,  83 ,  34
50,0,1 ,0 ,  175 ,  77
51,0,1 ,166 ,  83 ,  34
52,0,1 ,0 ,  175 ,  77
53,0,1 ,100 ,  103 ,  101
54,0,1 ,0 ,  175 ,  77
55,0,17 ,100 ,  103 ,  101
56,0,15 ,166 ,  83 ,  34
60,0,7 ,166 ,  83 ,  34
63,0,17 ,100 ,  103 ,  101
10,1,3 ,0 ,  175 ,  77
12,1,1 ,100 ,  103 ,  101
13,1,1 ,166 ,  83 ,  34
14,1,1 ,100 ,  103 ,  101
15,1,3 ,166 ,  83 ,  34
17,1,1 ,100 ,  103 ,  101
18,1,1 ,21 ,  21 ,  21
19,1,1 ,100 ,  103 ,  101
20,1,3 ,21 ,  21 ,  21
26,1,7 ,21 ,  21 ,  21
29,1,17 ,0 ,  74 ,  45
30,1,1 ,100 ,  103 ,  101
32,1,255 ,100 ,  103 ,  101
36,1,15 ,100 ,  103 ,  101
40,1,1 ,160 ,  161 ,  159
41,1,3 ,100 ,  103 ,  101
43,1,1 ,247 ,  209 ,  18
44,1,17 ,100 ,  103 ,  101
45,1,7 ,0 ,  175 ,  77
48,1,1 ,100 ,  103 ,  101
49,1,1 ,166 ,  83 ,  34
50,1,7 ,0 ,  175 ,  77
53,1,3 ,166 ,  83 ,  34
56,1,273 ,166 ,  83 ,  34
57,1,17 ,0 ,  175 ,  77
58,1,3 ,100 ,  103 ,  101
60,1,1 ,166 ,  83 ,  34
61,1,1 ,100 ,  103 ,  101
62,1,1 ,166 ,  83 ,  34
0,2,7 ,0 ,  175 ,  77
3,2,1 ,100 ,  103 ,  101
4,2,15 ,0 ,  175 ,  77
8,2,7 ,0 ,  175 ,  77
11,2,1 ,100 ,  103 ,  101
12,2,17 ,0 ,  175 ,  77
13,2,273 ,166 ,  83 ,  34
14,2,255 ,100 ,  103 ,  101
18,2,1 ,166 ,  83 ,  34
19,2,1 ,21 ,  21 ,  21
20,2,1 ,0 ,  74 ,  45
21,2,1 ,21 ,  21 ,  21
22,2,1 ,0 ,  74 ,  45
23,2,65535 ,21 ,  21 ,  21
27,2,51 ,21 ,  21 ,  21
30,2,1 ,0 ,  74 ,  45
31,2,17 ,100 ,  103 ,  101
36,2,1 ,100 ,  103 ,  101
37,2,1 ,0 ,  175 ,  77
38,2,15 ,100 ,  103 ,  101
42,2,3 ,100 ,  103 ,  101
45,2,1 ,166 ,  83 ,  34
46,2,1 ,0 ,  175 ,  77
47,2,1 ,100 ,  103 ,  101
48,2,17 ,0 ,  175 ,  77
49,2,1 ,100 ,  103 ,  101
50,2,7 ,166 ,  83 ,  34
53,2,3 ,100 ,  103 ,  101
55,2,1 ,0 ,  175 ,  77
58,2,51 ,100 ,  103 ,  101
60,2,3 ,166 ,  83 ,  34
62,2,1 ,100 ,  103 ,  101
63,2,1 ,0 ,  175 ,  77
0,3,3 ,0 ,  175 ,  77
2,3,1 ,100 ,  103 ,  101
3,3,7 ,0 ,  175 ,  77
6,3,1 ,0 ,  74 ,  45
7,3,7 ,0 ,  175 ,  77
10,3,1 ,100 ,  103 ,  101
11,3,17 ,0 ,  175 ,  77
18,3,3 ,100 ,  103 ,  101
20,3,7 ,21 ,  21 ,  21
29,3,3 ,21 ,  21 ,  21
32,3,3 ,100 ,  103 ,  101
34,3,17 ,0 ,  175 ,  77
35,3,1 ,100 ,  103 ,  101
36,3,1 ,166 ,  83 ,  34
37,3,7 ,100 ,  103 ,  101
40,3,1 ,166 ,  83 ,  34
41,3,3 ,100 ,  103 ,  101
43,3,1 ,166 ,  83 ,  34
44,3,7 ,100 ,  103 ,  101
47,3,1 ,166 ,  83 ,  34
49,3,3 ,166 ,  83 ,  34
51,3,51 ,100 ,  103 ,  101
53,3,3 ,166 ,  83 ,  34
55,3,1 ,100 ,  103 ,  101
57,3,1 ,100 ,  103 ,  101
60,3,3 ,100 ,  103 ,  101
62,3,1 ,166 ,  83 ,  34
63,3,4369 ,100 ,  103 ,  101
0,4,1 ,100 ,  103 ,  101
1,4,255 ,0 ,  175 ,  77
5,4,255 ,0 ,  175 ,  77
9,4,51 ,0 ,  175 ,  77
12,4,1 ,100 ,  103 ,  101
14,4,3 ,100 ,  103 ,  101
16,4,7 ,166 ,  83 ,  34
19,4,1 ,100 ,  103 ,  101
20,4,1 ,0 ,  74 ,  45
21,4,3 ,21 ,  21 ,  21
27,4,7 ,21 ,  21 ,  21
30,4,4369 ,0 ,  74 ,  45
31,4,51 ,100 ,  103 ,  101
33,4,17 ,166 ,  83 ,  34
35,4,3 ,100 ,  103 ,  101
37,4,51 ,0 ,  175 ,  77
39,4,3 ,100 ,  103 ,  101
41,4,1 ,166 ,  83 ,  34
42,4,17 ,100 ,  103 ,  101
43,4,1 ,0 ,  175 ,  77
44,4,3 ,166 ,  83 ,  34
46,4,1 ,100 ,  103 ,  101
47,4,3 ,166 ,  83 ,  34
49,4,1 ,100 ,  103 ,  101
50,4,1 ,0 ,  175 ,  77
53,4,1 ,100 ,  103 ,  101
54,4,3 ,0 ,  175 ,  77
56,4,1 ,100 ,  103 ,  101
57,4,3 ,166 ,  83 ,  34
59,4,15 ,100 ,  103 ,  101
0,5,17 ,0 ,  175 ,  77
11,5,7 ,166 ,  83 ,  34
14,5,1 ,100 ,  103 ,  101
15,5,7 ,166 ,  83 ,  34
18,5,1 ,100 ,  103 ,  101
19,5,1 ,166 ,  83 ,  34
20,5,17 ,100 ,  103 ,  101
21,5,51 ,0 ,  74 ,  45
27,5,13107 ,21 ,  21 ,  21
29,5,4369 ,0 ,  74 ,  45
34,5,17 ,100 ,  103 ,  101
35,5,3 ,0 ,  175 ,  77
39,5,1 ,166 ,  83 ,  34
40,5,3 ,0 ,  175 ,  77
43,5,1 ,166 ,  83 ,  34
44,5,17 ,100 ,  103 ,  101
45,5,17 ,0 ,  175 ,  77
46,5,3 ,166 ,  83 ,  34
48,5,1 ,100 ,  103 ,  101
49,5,1 ,0 ,  175 ,  77
50,5,3 ,100 ,  103 ,  101
52,5,1 ,0 ,  175 ,  77
53,5,1 ,100 ,  103 ,  101
54,5,17 ,166 ,  83 ,  34
55,5,15 ,100 ,  103 ,  101
59,5,3 ,166 ,  83 ,  34
61,5,1 ,100 ,  103 ,  101
62,5,17 ,166 ,  83 ,  34
1,6,1 ,100 ,  103 ,  101
2,6,7 ,0 ,  175 ,  77
5,6,1 ,100 ,  103 ,  101
6,6,15 ,0 ,  175 ,  77
10,6,3 ,166 ,  83 ,  34
12,6,1 ,0 ,  175 ,  77
13,6,7 ,166 ,  83 ,  34
