0,0,1 ,221 ,  196 ,  142
1,0,3 ,247 ,  209 ,  18
3,0,1 ,244 ,  244 ,  244
4,0,1 ,247 ,  209 ,  18
5,0,1 ,244 ,  244 ,  244
6,0,1 ,0 ,  108 ,  183
7,0,1 ,160 ,  161 ,  159
8,0,1 ,100 ,  103 ,  101
9,0,1 ,21 ,  21 ,  21
10,0,1 ,0 ,  108 ,  183
11,0,15 ,244 ,  244 ,  244
15,0,17 ,21 ,  21 ,  21
16,0,1 ,166 ,  83 ,  34
17,0,1 ,100 ,  103 ,  101
18,0,17 ,244 ,  244 ,  244
19,0,3 ,166 ,  83 ,  34
21,0,1 ,247 ,  209 ,  18
22,0,1 ,166 ,  83 ,  34
23,0,255 ,244 ,  244 ,  244
27,0,1 ,244 ,  244 ,  244
28,0,1 ,21 ,  21 ,  21
29,0,15 ,247 ,  209 ,  18
33,0,1 ,100 ,  103 ,  101
34,0,1 ,21 ,  21 ,  21
35,0,1 ,166 ,  83 ,  34
36,0,1 ,247 ,  209 ,  18
37,0,17 ,21 ,  21 ,  21
38,0,1 ,166 ,  83 ,  34
39,0,1 ,247 ,  209 ,  18
40,0,17 ,166 ,  83 ,  34
41,0,1 ,100 ,  103 ,  101
42,0,7 ,247 ,  209 ,  18
45,0,7 ,21 ,  21 ,  21
48,0,1 ,166 ,  83 ,  34
49,0,7 ,0 ,  74 ,  45
52,0,3 ,100 ,  103 ,  101
54,0,4369 ,0 ,  74 ,  45
55,0,1 ,100 ,  103 ,  101
56,0,3 ,21 ,  21 ,  21
58,0,1 ,247 ,  209 ,  18
59,0,1 ,160 ,  161 ,  159
60,0,1 ,21 ,  21 ,  21
61,0,1 ,160 ,  161 ,  159
62,0,17 ,21 ,  21 ,  21
63,0,1 ,247 ,  209 ,  18
0,1,1 ,21 ,  21 ,  21
1,1,1 ,100 ,  103 ,  101
2,1,1 ,247 ,  209 ,  18
3,1,1 ,21 ,  21 ,  21
4,1,1 ,0 ,  74 ,  45
5,1,1 ,247 ,  209 ,  18
6,1,1 ,221 ,  196 ,  142
7,1,1 ,244 ,  244 ,  244
8,1,17 ,166 ,  83 ,  34
9,1,1 ,100 ,  103 ,  101
10,1,1 ,244 ,  244 ,  244
11,1,1 ,100 ,  103 ,  101
12,1,3 ,244 ,  244 ,  244
14,1,1 ,166 ,  83 ,  34
16,1,1 ,247 ,  209 ,  18
17,1,1 ,160 ,  161 ,  159
19,1,1 ,0 ,  74 ,  45
20,1,17 ,244 ,  244 ,  244
21,1,1 ,166 ,  83 ,  34
22,1,1 ,221 ,  196 ,  142
27,1,1 ,221 ,  196 ,  142
28,1,1 ,247 ,  209 ,  18
29,1,3 ,221 ,  196 ,  142
31,1,1 ,244 ,  244 ,  244
32,1,1 ,21 ,  21 ,  21
33,1,17 ,247 ,  209 ,  18
34,1,1 ,0 ,  74 ,  45
35,1,17 ,166 ,  83 ,  34
36,1,1 ,221 ,  196 ,  142
38,1,1 ,100 ,  103 ,  101
39,1,1 ,21 ,  21 ,  21
41,1,1 ,0 ,  74 ,  45
42,1,1 ,247 ,  209 ,  18
